title,short_description,full_description,price,images/0,images/1,url,images/2,images/3
Akademia animatora z promocją zdrowia,"Zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, profilaktyką społeczną.","Cel szkolenia:  jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, profilaktyką społeczną oraz umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem jako animator.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie otrzymujesz materiał w formie PDF.
",799.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-ANIMATORA-Z-PROMOCJA-ZDROWIA-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-Animatora-online-100x100.png,https://www.kursyzdalne.com/produkt/akademia-animatora-z-promocja-zdrowia/,,
Akademia kryminologii i kryminalistyki online,"Zdobycie podstawowej wiedzy związanej z kryminologią, kryminalistyką, resocjalizacją oraz prawem.","Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z kryminologią, kryminalistyką, resocjalizacją oraz prawem.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie otrzymujesz materiał w formie PDF.
",699.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-KRYMINOLOGII-I-KRYMINALISTYKI-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-podstaw-kryminologii-online-100x100.png,https://www.kursyzdalne.com/produkt/akademia-kryminologii-i-kryminalistyki-online/,,
Akademia kuratora sądowego,Naucz się budować i doskonalić kontakty z innymi oraz profesjonalnie im pomagać w trudnościach życiowych…Poznaj wiedzę przydatną do wykonywania funkcji jaką jest społeczny kurator sądowy.,"Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
","1,199.00zł zł",https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-kuratora-spolecznego-grafika-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-kuratora-spolecznego-program-100x100.png,https://www.kursyzdalne.com/produkt/akademia-kuratora-sadowego/,https://www.kursyzdalne.com/wp-content/uploads/2020/12/specjalnosci-Akademia-kuratora-spolecznego-100x100.png,
Akademia mediacji i negocjacji online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, komunikacji, mediacji i negocjacji. ","Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią,  komunikacji, mediacji i negocjacji.  Uczestnik szkolenia zdobędzie również wiedzę z zakresu: resocjalizacji, prawa, psychoprofilaktyki.  Szkolenie wzbogacone jest o kształtowanie kompetencji i umiejętności zawodowych wpływających na proces mediacji i negocjacji. Szkolenie wzbogacone jest o możliwość uzupełnienia podstawowej wiedzy o specjalność: z zakresu mediacji rodzinnej i małżeńskiej.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
",699.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-MEDIACJI-I-NEGOCJACJI-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/Akademia-mediacji-100x100.jpg,https://www.kursyzdalne.com/produkt/akademia-mediacji-i-negocjacji-online/,,
Akademia podstaw pomocy emocjonalnej,"Jeśli pracujesz lub zamierzasz pracować z drugim człowiekiem i chcesz zadbać o podwyższenie lub zdobycie nowych kwalifikacji w zakresie skutecznej pomocy drugiemu człowiekowi – to jesteś w odpowiednim miejscu. Zapisz się na naszą Akademię, która jest całkowicie przez internet i zdobądź podstawy terapeutyczne do pracy z klientem.","Dlaczego pomoc emocjonalna? Powodów jest kilka: zazwyczaj pomoc psychologiczna jest zarezerwowana głównie dla psychologów. Z kolei pomoc pedagogiczna dla pedagogów. W życiu układa się tak, że nie każdy z nas mógł spełniać swoje marzenia i aspiracje podejmując studia z wyżej wymienionych profilów kształcenia.  Wychodzimy zatem z alternatywą w której nasz program szkoleniowy pozwoli Ci na zdobycie podstaw do pomocy emocjonalnej drugiemu człowiekowi.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie otrzymujesz materiał w formie PDF.
",769.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-PODSTAW-POMOCY-EMOCJONALNEJ-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Pomoc-emocjonalna-online-100x100.png,https://www.kursyzdalne.com/produkt/akademia-podstaw-pomocy-emocjonalnej/,,
Akademia podstaw psychologii i pedagogiki online,Zdobycie podstawowej wiedzy z zakresu psychologii i pedagogiki.,"Cel szkolenia:   zdobycie podstawowej wiedzy z zakresu psychologii i pedagogiki – w tym surdopedagogiki i tyflopedagogiki, podstaw terapii dzieci z niepełnosprawnością intelektualną, zagadnienia psychoonkologii i psychologii sądowej. W szkoleniu zawarto także wiedzę z zakresu diagnostyki i terapii, tematykę profilaktyki i umiejętności zawodowych.
Szkolenie o charakterze doskonalącym
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
",449.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/10/Akademia-podstaw-psychologii-i-pedagogiki--100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/10/Akademia-psychologiczna-program-724x1024-1-100x100.png,https://www.kursyzdalne.com/produkt/akademia-podstaw-psychologii-i-pedagogiki-online/,,
Akademia podstaw psychologii online," Jest nabycie wiedzy z najważniejszych działów psychologii m.in.: zakresu psychologii poznawczej, społecznej, rozwojowej.","Cel szkolenia:  jest nabycie wiedzy z najważniejszych działów psychologii m.in.: zakresu psychologii poznawczej, społecznej, rozwojowej. Uczestnik szkolenia dowie się jak działa nasza pamięć oraz świadomość. Uczestnik szkolenia nabędzie umiejętności radzenia sobie ze stresem oraz emocjami. Zdobędzie wiedzę na temat komunikacji, inteligencji, osobowości i rozwoju człowieka. Pozna najczęstsze zaburzenia psychiczne oraz podstawowe metody terapii zaburzeń.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
",599.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-PODSTAW-PSYCHOLOGII-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/PodstawypsychologiiAkademia-100x100.png,https://www.kursyzdalne.com/produkt/akademia-podstaw-psychologii-online/,,
Akademia podstaw psychosomatyki,Wiedza z podstaw psychosomatyki i somatopsychologii oraz psychotraumatologii.,"Cel szkolenia:   zdobycie wiedzy i umiejętności z zakresu podstaw psychosomatyki i somatopsychologii oraz psychotraumatologii.
Dodatkowe informacje: Szkolenie o charakterze doskonalącym.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie otrzymujesz materiał w formie PDF.
",599.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-Somatopsychologii-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-PODSTAW-PSYCHOSOMATYKI-I-SOMATOPSYCHOLOGII-program-100x100.png,https://www.kursyzdalne.com/produkt/akademia-podstaw-psychosomatyki/,,
Akademia pomocy psychopedagogicznej online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, resocjalizacją, profilaktyką społeczną.","Cel szkolenia:  jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, resocjalizacją, profilaktyką społeczną oraz umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem – głównie z osobami niedostosowanymi społecznie.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
",629.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-POMOCY-PSYCHOPEDAGOGICZNEJ-NIEDOSTOSOWANYM-SPOŁECZNIE-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/PPomocpsychope-100x100.png,https://www.kursyzdalne.com/produkt/akademia-pomocy-psychopedagogicznej-online/,,
Akademia profesjonalnego opiekuna online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, tematyką opieki, zdrowia, pielęgnacji oraz z umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem","Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, tematyką opieki, zdrowia, pielęgnacji oraz z umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem. Szkolenie wzbogacone jest o możliwość uzupełnienia podstawowej wiedzy o specjalność: opieka nad dzieckiem, opieka nad osobą starszą, opieka nad osobą niepełnosprawną, opieka nad dzieckiem z zaburzeniami neurororozwojowymi.
Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie. Nie nadaje uprawnień do bycia terapeutą.
Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.
Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.
Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.
",649.00zł zł,https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-PROFESJONALNEGO-OPIEKUNA-100x100.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/Akademia-opiekun-pro-100x100.jpg,https://www.kursyzdalne.com/produkt/akademia-profesjonalnego-opiekuna-online/,,
